Text,Engine,SID,Keyword
Equinox,Yahoo,519042936940290,Chevrolet
Ridgeline,Bing,206653049321937,Honda
Freelander,Google,655183904158983,Land Rover
F350,DuckDuckGo,639714173991398,Ford
Exige,Yahoo,745232035946952,Lotus
Elantra,Bing,543293716730207,Hyundai
911,Google,807830150064369,Porsche
Escort ZX2,DuckDuckGo,474292873506969,Ford
Touareg,Yahoo,256891111737296,Volkswagen
CL,Bing,804869527360742,Acura
Miata MX-5,Google,019995688739333,Mazda
Esprit,DuckDuckGo,931315265172454,Lotus
6 Series,Yahoo,851558623552681,BMW
Camaro,Bing,932245103686909,Chevrolet
Rocky,Google,317448676797556,Daihatsu
Sedona,DuckDuckGo,808331196685959,Kia
Sable,Yahoo,249573711379029,Mercury
Maxima,Bing,952013075080739,Nissan
E350,Google,089687701922280,Ford
Xtra,DuckDuckGo,002244192021500,Toyota
M-Class,Yahoo,459235711054050,Mercedes-Benz
Suburban 2500,Bing,210410798956350,GMC
X-Type,Google,112339688506248,Jaguar
Mazda6,DuckDuckGo,391712898329981,Mazda
A4,Yahoo,015851776741413,Audi
Veracruz,Bing,921105803093906,Hyundai
Diamante,Google,008670139143490,Mitsubishi
Seville,DuckDuckGo,106485032188044,Cadillac
S70,Yahoo,764398746155257,Volvo
GS,Bing,293760356036020,Lexus
3500,Google,062030024004073,Chevrolet
62,DuckDuckGo,519780677986712,Maybach
Grand Vitara,Yahoo,649962862802714,Suzuki
Grand Prix,Bing,412584900659454,Pontiac
Diamante,Google,739364842300405,Mitsubishi
Mini,DuckDuckGo,903995978085901,Austin
Ram 2500 Club,Yahoo,772052672400992,Dodge
Durango,Bing,097973207961087,Dodge
Skylark,Google,601647997322685,Buick
Maxima,DuckDuckGo,780009413367009,Nissan
Laser,Yahoo,488671180647204,Ford
Continental,Bing,614183096343414,Lincoln
A6,Google,027744849052673,Audi
Somerset,DuckDuckGo,351405063466533,Buick
Skyhawk,Yahoo,918011706617020,Buick
Sportage,Bing,548746145986514,Kia
IS,Google,643902984821576,Lexus
del Sol,DuckDuckGo,621036507114916,Honda
Town & Country,Yahoo,843359964267622,Chrysler
Transit Connect,Bing,261295092160060,Ford
LeSabre,Google,919097356970847,Buick
Windstar,DuckDuckGo,642611258394180,Ford
Outback,Yahoo,041446462597116,Subaru
Leone,Bing,305276803592508,Subaru
Montero,Google,827988003823244,Mitsubishi
626,DuckDuckGo,947894735147127,Mazda
SM,Yahoo,661417519087803,CitroÃ«n
Eldorado,Bing,161277261643465,Cadillac
Mark LT,Google,478334891428154,Lincoln
7 Series,DuckDuckGo,344603183898179,BMW
Safari,Yahoo,414580249617943,Pontiac
LeSabre,Bing,607389462477469,Buick
Century,Google,778423261521620,Buick
Diamante,DuckDuckGo,408768909852096,Mitsubishi
Sentra,Yahoo,750302338434658,Nissan
5 Series,Bing,564885150291090,BMW
Grand Vitara,Google,705814006166032,Suzuki
Tercel,DuckDuckGo,639276728169542,Toyota
Aerio,Yahoo,605160594730283,Suzuki
M,Bing,389609733995810,Infiniti
Camry Hybrid,Google,343230902537435,Toyota
M5,DuckDuckGo,925628883030998,BMW
Sonata,Yahoo,529073507532527,Hyundai
Volt,Bing,953259279441346,Chevrolet
Passport,Google,964724413491759,Honda
LTD,DuckDuckGo,723925934971629,Ford
Blazer,Yahoo,584498892055510,Chevrolet
SL-Class,Bing,531924725760685,Mercedes-Benz
TT,Google,919648774665541,Audi
Raider,DuckDuckGo,201632939396456,Mitsubishi
Catera,Yahoo,574204161122126,Cadillac
C70,Bing,578869079618546,Volvo
Grand Prix,Google,273351247335698,Pontiac
Samurai,DuckDuckGo,451400780935680,Suzuki
Tundra,Yahoo,051992986290775,Toyota
TrailBlazer,Bing,668314084238666,Chevrolet
Montero,Google,399549587531981,Mitsubishi
Hombre,DuckDuckGo,147835777260635,Isuzu
Camaro,Yahoo,110180281647719,Chevrolet
G-Series G10,Bing,530205657762383,Chevrolet
Milan,Google,116515730375064,Mercury
RX-8,DuckDuckGo,864442354770197,Mazda
Ram Van 3500,Yahoo,239994479334755,Dodge
Town Car,Bing,978356463951919,Lincoln
B2500,Google,959899787416084,Mazda
TundraMax,DuckDuckGo,645589309046743,Toyota
Matrix,Yahoo,703255433581629,Toyota
Stratus,Bing,159344342747099,Dodge
Pilot,Google,196947883569888,Honda
Grand Marquis,DuckDuckGo,183668568745492,Mercury
